Name,Team,PA,BBRate,KRate,BBPerK,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,playerid
Taylor Ward,LAA,131,17.6%,19.8%,0.88,.370,.481,.713,1.194,.343,4.9,.425,0.5,0.2,-0.7,35,20.4,.508,246,17548
Mike Trout,LAA,150,14.7%,24.7%,0.59,.317,.427,.683,1.109,.365,3.6,.372,-0.7,0.3,-0.1,36,18.9,.470,219,10155
Aaron Judge,NYY,156,10.9%,26.3%,0.41,.307,.381,.664,1.045,.358,4.3,.337,0.1,0.7,0.3,34,16.9,.446,204,15640
Manny Machado,SDP,167,11.4%,18.0%,0.63,.363,.437,.568,1.006,.205,5.1,.418,1.3,-0.1,1.2,35,16.5,.434,186,11493
Bryce Harper,PHI,147,7.5%,22.4%,0.33,.305,.361,.634,.994,.328,7.5,.337,-0.1,-0.3,0.7,29,12.9,.420,171,11579
J.D. Martinez,BOS,137,5.8%,24.8%,0.24,.349,.387,.579,.966,.230,1.4,.438,0.7,-0.9,-0.1,27,11.7,.417,177,6184
C.J. Cron,COL,156,5.8%,25.6%,0.23,.319,.365,.604,.970,.285,2.8,.379,-0.2,0.2,-0.1,31,13.3,.417,157,12546
Jose Ramirez,CLE,158,12.7%,8.9%,1.43,.287,.380,.588,.968,.301,5.9,.263,-0.2,0.7,0.1,31,13.4,.416,181,13510
Paul Goldschmidt,STL,167,10.8%,18.0%,0.60,.327,.398,.544,.942,.218,4.0,.375,1.2,0.7,0.4,32,13.4,.410,170,9218
Jazz Chisholm Jr.,MIA,133,6.8%,23.3%,0.29,.294,.341,.597,.938,.303,7.5,.333,0.0,0.7,0.3,24,9.4,.398,162,20454
Rafael Devers,BOS,169,4.1%,17.8%,0.23,.327,.355,.562,.917,.235,4.4,.368,0.8,0.2,0.1,31,11.8,.397,163,17350
Freddie Freeman,LAD,169,13.0%,13.0%,1.00,.322,.414,.497,.911,.175,5.5,.358,1.2,0.5,0.4,31,11.8,.397,160,5361
Yordan Alvarez,HOU,143,14.7%,18.2%,0.81,.248,.357,.570,.927,.322,1.4,.214,-0.1,0.4,-0.1,26,9.9,.396,170,19556
Nolan Arenado,STL,158,9.5%,15.2%,0.63,.289,.354,.563,.918,.275,0.7,.291,0.1,0.4,-0.1,29,10.8,.395,160,9777
Giancarlo Stanton,NYY,150,8.0%,26.0%,0.31,.296,.347,.563,.910,.267,0.1,.330,-0.2,0.4,-0.1,26,9.6,.389,163,4949
Ty France,SEA,180,7.2%,10.6%,0.68,.327,.397,.484,.881,.157,0.6,.341,-0.2,1.0,-0.2,32,11.5,.389,167,17982
Tim Anderson,CHW,145,3.4%,11.7%,0.29,.346,.386,.493,.879,.147,5.4,.374,0.2,-0.3,1.2,25,9.0,.387,161,15172
Juan Soto,WSN,177,18.1%,14.7%,1.23,.250,.390,.472,.862,.222,4.3,.255,0.6,0.4,0.6,30,10.4,.382,146,20123
Xander Bogaerts,BOS,160,8.1%,20.6%,0.39,.326,.388,.465,.853,.139,3.7,.398,0.1,0.2,0.2,27,8.8,.378,150,12161
Brandon Nimmo,NYM,153,13.7%,15.0%,0.91,.287,.391,.457,.848,.171,4.3,.330,0.5,-0.4,-0.2,26,8.4,.377,150,12927
Josh Bell,WSN,164,11.6%,11.0%,1.06,.309,.401,.446,.847,.137,1.9,.331,-2.0,-2.0,-0.6,27,8.9,.377,142,13145
Willson Contreras,CHC,142,11.3%,20.4%,0.55,.254,.380,.458,.838,.203,4.4,.298,1.1,-0.6,-0.5,24,7.6,.375,142,11609
Pete Alonso,NYM,173,8.1%,22.0%,0.37,.276,.353,.513,.866,.237,2.9,.302,-0.7,0.2,0.0,29,9.1,.375,149,19251
Anthony Rizzo,NYY,159,10.1%,17.6%,0.57,.234,.340,.518,.858,.285,5.5,.222,-1.7,0.1,0.1,26,8.0,.372,151,3473
Eric Hosmer,SDP,152,8.6%,14.5%,0.59,.324,.382,.468,.849,.144,0.8,.363,-0.9,-0.4,-0.2,25,7.5,.370,143,3516
Jeremy Pena,HOU,134,7.5%,23.1%,0.32,.277,.338,.513,.851,.235,5.8,.313,0.7,0.4,0.3,22,6.5,.369,151,21636
Brandon Drury,CIN,126,10.3%,23.0%,0.45,.245,.333,.509,.842,.264,2.7,.267,-0.5,-0.2,-0.9,20,5.9,.367,133,11615
J.P. Crawford,SEA,154,9.7%,16.9%,0.58,.293,.377,.451,.828,.158,3.4,.333,-0.6,0.6,-0.4,25,7.2,.367,151,15491
Owen Miller,CLE,120,9.2%,20.8%,0.44,.286,.342,.514,.856,.229,2.6,.325,0.0,0.3,-0.1,19,5.6,.366,146,24655
Mookie Betts,LAD,167,11.4%,16.2%,0.70,.260,.347,.479,.827,.219,5.3,.268,0.7,-0.1,0.4,26,7.4,.364,138,13611
George Springer,TOR,152,7.2%,23.0%,0.31,.271,.338,.496,.834,.226,5.2,.309,1.0,0.6,-0.1,24,6.6,.362,139,12856
Yandy Diaz,TBR,137,15.3%,8.8%,1.75,.281,.401,.386,.787,.105,1.9,.293,-1.1,0.2,-1.0,21,5.8,.361,148,16578
Rowdy Tellez,MIL,144,7.6%,24.3%,0.31,.244,.313,.527,.839,.282,1.4,.264,-1.1,0.0,-0.1,22,6.1,.361,132,15679
Matt Olson,ATL,174,16.7%,21.3%,0.78,.250,.374,.438,.811,.188,0.8,.308,-2.4,-0.6,-0.2,27,7.2,.360,131,14344
Connor Joe,COL,152,11.8%,17.1%,0.69,.278,.368,.436,.805,.158,5.3,.320,-0.7,0.0,-0.5,23,6.2,.359,119,16572
Ryan McMahon,COL,149,10.1%,27.5%,0.37,.275,.362,.443,.805,.168,3.6,.372,0.2,0.8,-0.5,23,6.1,.359,119,15112
Jean Segura,PHI,133,6.8%,15.8%,0.43,.293,.346,.463,.809,.171,4.7,.313,1.2,-0.8,0.5,20,5.3,.358,130,5933
Josh Donaldson,NYY,144,13.2%,24.3%,0.54,.252,.361,.439,.800,.187,1.5,.313,-1.0,-0.1,-0.5,22,5.8,.358,141,5038
Tommy Edman,STL,161,11.2%,14.3%,0.78,.273,.369,.432,.800,.158,8.6,.304,2.0,-0.2,1.2,25,6.4,.358,136,19470
Luis Robert,CHW,130,4.6%,15.4%,0.30,.301,.338,.472,.810,.171,5.4,.320,1.7,0.3,0.7,20,5.1,.357,141,20043
Hunter Renfroe,MIL,146,6.2%,26.0%,0.24,.267,.308,.519,.827,.252,1.9,.300,-0.6,-0.1,-0.5,22,5.8,.357,130,15464
Kyle Tucker,HOU,159,13.2%,18.9%,0.70,.255,.352,.460,.812,.204,4.3,.277,0.1,0.1,1.3,24,6.3,.357,142,18345
Vladimir Guerrero Jr.,TOR,159,10.1%,17.6%,0.57,.275,.358,.457,.815,.181,1.2,.295,-0.4,-0.9,-0.6,24,6.2,.356,135,19611
Daniel Vogelbach,PIT,126,11.1%,25.4%,0.44,.252,.333,.477,.811,.225,2.7,.297,0.0,-0.1,-0.1,19,4.5,.352,129,14130
Austin Hays,BAL,151,9.3%,15.9%,0.58,.284,.358,.433,.790,.149,1.5,.324,0.6,0.4,-0.5,22,5.3,.351,134,19363
Seiya Suzuki,CHC,137,13.1%,30.7%,0.43,.248,.350,.453,.803,.205,4.0,.347,-0.4,0.0,-0.7,20,4.6,.350,125,30116
