Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Cesar Hernandez,WAS,2B,31,40,166,21,45,9,1,0,8,2,1,10,36,1,0,2,.271,.320,.337,.657
Rafael Devers,BOS,3B,25,39,162,25,53,15,1,7,21,1,0,7,30,0,0,0,.327,.355,.562,.917
Bo Bichette,TOR,SS,24,39,161,17,39,8,0,4,17,4,2,9,43,0,0,0,.242,.282,.366,.648
Shohei Ohtani,LAA,DH,27,40,161,28,40,8,0,8,27,6,3,14,43,0,0,0,.248,.309,.447,.756
Cedric Mullins,BAL,OF,27,40,160,21,41,8,1,5,16,7,2,10,34,1,1,5,.256,.318,.413,.731
Ty France,SEA,2B,27,40,159,16,52,7,0,6,28,0,0,13,19,0,1,6,.327,.397,.484,.881
Whit Merrifield,KC,2B,33,38,155,15,32,5,0,2,17,6,0,9,22,0,5,0,.206,.243,.277,.520
Ozzie Albies,ATL,2B,25,39,155,20,36,7,0,6,16,3,2,11,27,0,3,2,.232,.287,.394,.681
Adam Frazier,SEA,2B,30,39,153,21,40,9,1,1,14,1,2,16,19,0,0,1,.261,.335,.353,.688
Maikel Franco,WAS,3B,29,40,153,12,40,10,0,3,21,0,0,6,34,0,2,0,.261,.286,.386,.672
Marcell Ozuna,ATL,OF,31,39,152,16,34,5,0,8,19,2,0,9,34,0,2,1,.224,.268,.414,.682
Pete Alonso,NYM,1B,27,40,152,24,42,6,0,10,36,1,0,14,38,0,2,5,.276,.353,.513,.866
Wander Franco,TB,SS,21,37,152,23,40,9,1,4,16,4,0,7,15,0,2,0,.263,.292,.414,.706
Francisco Lindor,NYM,SS,28,40,150,26,36,6,0,6,22,5,2,21,34,0,3,4,.240,.343,.400,.743
Austin Riley,ATL,3B,25,38,148,17,35,9,0,8,18,2,0,15,43,0,0,4,.236,.323,.459,.782
Randy Arozarena,TB,OF,27,38,147,17,36,10,1,2,12,6,3,9,41,0,1,1,.245,.291,.367,.658
Paul Goldschmidt,STL,1B,34,38,147,24,48,14,0,6,27,3,0,18,30,0,1,0,.327,.398,.544,.942
Manny Machado,SD,3B,29,39,146,29,53,9,0,7,24,7,0,19,30,0,1,1,.363,.437,.568,1.005
Marcus Semien,TEX,2B,31,37,146,13,26,8,0,0,9,3,1,12,29,0,2,1,.178,.242,.233,.475
Mookie Betts,LAD,OF,29,36,146,37,38,8,0,8,20,3,0,19,27,0,1,1,.260,.347,.479,.826
Jake Cronenworth,SD,2B,28,38,145,21,30,6,2,3,17,0,0,18,35,0,2,3,.207,.304,.338,.642
Trea Turner,LAD,SS,28,38,145,18,41,10,1,2,28,8,1,16,30,0,3,1,.283,.352,.407,.759
Julio Rodriguez,SEA,OF,21,39,145,15,38,5,1,3,14,11,3,11,49,0,0,1,.262,.318,.372,.690
Juan Soto,WAS,OF,23,40,144,26,36,8,0,8,11,4,0,32,26,0,0,1,.250,.390,.472,.862
