Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Ryan Helsley,STL,15.80,1.32,12.00,0.00,53.3%,4.4%,48.9%,.047,0.29,.105,75.0%,0,5,23,0.00,0.02,-0.02,0.73,0.43,18138
A.J. Minter,ATL,13.75,2.04,6.75,0.00,40.9%,6.1%,34.8%,.148,0.74,.265,78.6%,37,27,66,1.53,0.88,0.65,2.45,1.62,18655
Scott Effross,CHC,11.12,1.06,10.50,0.00,30.9%,2.9%,27.9%,.197,0.88,.289,66.7%,26,29,61,1.06,0.97,0.09,2.28,2.00,18384
Josh Hader,MIL,14.18,3.38,4.20,0.00,43.8%,10.4%,33.3%,.047,0.53,.091,100.0%,0,31,60,0.00,1.06,-1.06,2.21,1.69,14212
Andrew Heaney,LAD,13.94,2.61,5.33,0.00,40.0%,7.5%,32.5%,.111,0.68,.200,87.5%,0,33,57,0.00,1.15,-1.15,2.09,2.02,15423
Sam Hentges,CLE,11.57,1.29,9.00,0.00,35.3%,3.9%,31.4%,.146,0.64,.233,80.0%,35,27,43,1.29,1.16,0.12,1.76,1.33,18548
Kenley Jansen,ATL,11.88,2.16,5.50,0.00,36.1%,6.6%,29.5%,.123,0.66,.200,54.5%,66,34,67,2.70,1.17,1.53,2.50,1.94,3096
Michael King,NYY,12.97,1.40,9.25,0.35,39.4%,4.3%,35.1%,.189,0.82,.308,81.6%,38,27,34,1.40,1.18,0.22,1.43,1.34,19853
Kevin Gausman,TOR,10.26,0.54,19.00,0.18,28.9%,1.5%,27.4%,.253,1.04,.353,71.1%,66,29,58,2.52,1.25,1.27,2.29,2.44,14107
Alex Vesia,LAD,11.81,2.53,4.67,0.00,31.8%,6.8%,25.0%,.171,0.94,.259,70.0%,65,37,73,2.53,1.31,1.22,2.74,2.35,25007
Spencer Strider,ATL,13.29,3.74,3.56,0.00,37.6%,10.6%,27.1%,.184,1.06,.318,73.9%,61,39,71,2.49,1.38,1.11,2.66,2.26,27498
Victor Arano,WSN,11.65,2.12,5.50,0.00,31.4%,5.7%,25.7%,.262,1.24,.395,63.6%,104,39,59,4.24,1.38,2.85,2.20,2.06,15915
Penn Murfee,SEA,11.68,2.19,5.33,0.00,35.6%,6.7%,28.9%,.122,0.65,.200,88.9%,21,36,75,0.73,1.47,-0.74,2.93,2.09,25174
Kyle Nelson,ARI,9.82,1.23,8.00,0.00,30.2%,3.8%,26.4%,.180,0.75,.265,83.3%,30,43,66,1.23,1.52,-0.29,2.47,2.14,20515
Carlos Rodon,SFG,13.03,3.03,4.31,0.23,36.1%,8.4%,27.7%,.213,1.11,.345,68.1%,90,47,69,3.49,1.62,1.88,2.61,2.48,16137
J.P. Feyereisen,TBR,9.47,1.89,5.00,0.00,31.3%,6.3%,25.0%,.067,0.42,.100,100.0%,0,41,83,0.00,1.62,-1.62,3.22,2.53,16610
Jason Adam,TBR,11.57,2.20,5.25,0.00,35.0%,6.7%,28.3%,.074,0.49,.121,70.0%,32,41,76,1.10,1.62,-0.52,2.98,2.05,11861
Joe Mantiply,ARI,7.47,0.57,13.00,0.00,23.2%,1.8%,21.4%,.182,0.70,.238,90.9%,14,46,67,0.57,1.62,-1.05,2.51,2.28,14857
Devin Williams,MIL,17.40,6.60,2.64,0.00,43.3%,16.4%,26.9%,.200,1.47,.423,69.6%,104,45,56,4.20,1.62,2.58,2.09,2.58,15816
John Brebbia,SFG,9.50,2.00,4.75,0.00,27.5%,5.8%,21.7%,.200,0.94,.283,76.5%,52,48,84,2.00,1.65,0.35,3.19,2.68,12777
A.J. Puk,OAK,8.83,1.56,5.67,0.00,26.2%,4.6%,21.5%,.177,0.81,.244,92.9%,15,41,68,0.52,1.65,-1.13,2.69,2.61,19343
Clay Holmes,NYY,8.41,0.89,9.50,0.00,25.7%,2.7%,23.0%,.183,0.74,.250,93.8%,12,40,48,0.44,1.66,-1.22,1.94,0.77,13649
Chris Paddack,MIN,8.06,0.81,10.00,0.00,21.5%,2.2%,19.4%,.278,1.21,.357,64.3%,109,41,79,4.03,1.70,2.33,3.07,3.24,20099
