Player,Team,Age,G,GS,CG,SHO,IP,H,ER,K,BB,HR,W,L,SV,BS,HLD,ERA,WHIP
Corbin Burnes,MIL,27,7,7,0,0,45.2,28,9,57,8,6,1,2,0,0,0,1.77,0.79
Kevin Gausman,TOR,31,7,7,0,0,45.0,42,12,54,2,0,3,2,0,0,0,2.40,0.98
Max Scherzer,NYM,37,7,7,0,0,44.0,29,13,55,11,5,4,1,0,0,0,2.66,0.91
Pablo Lopez,MIA,26,7,7,0,0,43.0,27,5,46,8,2,4,1,0,0,0,1.05,0.81
Max Fried,ATL,28,7,7,0,0,43.0,38,15,41,4,4,4,2,0,0,0,3.14,0.98
Frankie Montas,OAK,29,7,7,0,0,43.0,32,18,41,12,5,2,3,0,0,0,3.77,1.02
Robbie Ray,SEA,30,7,7,0,0,42.2,35,20,41,15,6,3,3,0,0,0,4.22,1.17
Sandy Alcantara,MIA,26,7,7,0,0,42.2,33,13,37,19,4,2,2,0,0,0,2.74,1.22
Miles Mikolas,STL,33,7,7,0,0,42.1,32,7,31,8,2,3,1,0,0,0,1.49,0.94
Merrill Kelly,ARI,33,7,7,0,0,42.0,36,8,38,11,1,3,1,0,0,0,1.71,1.12
Walker Buehler,LAD,27,7,7,1,1,41.2,39,13,35,10,3,4,1,0,0,0,2.81,1.18
Logan Webb,SF,25,7,7,0,0,41.1,44,16,28,11,1,5,1,0,0,0,3.48,1.33
Justin Verlander,HOU,39,6,6,0,0,40.2,20,7,36,6,4,4,1,0,0,0,1.55,0.64
Framber Valdez,HOU,28,7,7,0,0,40.0,34,13,32,17,1,2,2,0,0,0,2.93,1.28
Aaron Nola,PHI,28,7,7,0,0,40.0,33,17,47,7,6,1,4,0,0,0,3.83,1.00
Nathan Eovaldi,BOS,32,7,7,0,0,40.0,36,14,42,7,9,1,1,0,0,0,3.15,1.08
Shane McClanahan,TB,25,7,7,0,0,39.1,26,11,58,10,5,2,2,0,0,0,2.52,0.92
Yu Darvish,SD,35,7,7,0,0,39.0,35,20,32,11,4,3,1,0,0,0,4.62,1.18
Jordan Lyles,BAL,31,7,7,0,0,39.0,45,19,32,14,5,2,3,0,0,0,4.38,1.51
Joe Musgrove,SD,29,6,6,0,0,39.0,32,9,41,3,3,4,0,0,0,0,2.08,0.90
Kyle Hendricks,CHC,32,7,7,0,0,39.0,36,19,30,13,6,2,3,0,0,0,4.38,1.26
Eduardo Rodriguez,DET,29,7,7,0,0,38.2,31,16,34,15,4,1,2,0,0,0,3.72,1.19
Zack Greinke,KC,38,7,7,0,0,38.1,42,15,14,3,2,0,2,0,0,0,3.52,1.17
Logan Gilbert,SEA,25,7,7,0,0,38.0,28,9,42,14,3,4,1,0,0,0,2.13,1.11
Dylan Cease,CWS,26,7,7,0,0,38.0,27,15,58,15,3,3,1,0,0,0,3.55,1.11
Dane Dunning,TEX,27,7,7,0,0,37.2,34,17,37,13,3,1,2,0,0,0,4.06,1.25
Kyle Gibson,PHI,34,7,7,0,0,37.1,32,17,30,13,4,3,1,0,0,0,4.10,1.21
Josiah Gray,WAS,24,7,7,0,0,37.1,31,18,39,18,8,4,3,0,0,0,4.34,1.31
Brad Keller,KC,26,6,6,0,0,36.2,27,11,22,9,4,1,3,0,0,0,2.70,0.98
Carlos Carrasco,NYM,35,6,6,0,0,36.2,31,13,33,6,3,3,1,0,0,0,3.19,1.01
Gerrit Cole,NYY,31,7,7,0,0,36.2,29,12,46,12,5,3,0,0,0,0,2.95,1.12
Tyler Mahle,CIN,27,8,8,0,0,36.2,36,24,40,18,3,2,4,0,0,0,5.89,1.47
Kyle Freeland,COL,29,7,7,0,0,36.2,47,20,26,11,4,1,4,0,0,0,4.91,1.58
Chris Bassitt,NYM,33,6,6,0,0,36.2,26,10,38,9,4,4,2,0,0,0,2.45,0.95
Sean Manaea,SD,30,6,6,0,0,36.0,28,15,38,12,4,2,3,0,0,0,3.75,1.11
Alek Manoah,TOR,24,6,6,0,0,36.0,23,7,35,9,3,4,0,0,0,0,1.75,0.89
Kyle Wright,ATL,26,6,6,0,0,35.2,30,12,41,11,2,3,2,0,0,0,3.03,1.15
Zach Davies,ARI,29,7,7,0,0,35.1,27,14,28,15,3,2,1,0,0,0,3.57,1.19
Daulton Jefferies,OAK,26,7,7,0,0,35.1,39,19,23,5,4,1,6,0,0,0,4.84,1.25
Carlos Rodon,SF,29,6,6,0,0,35.0,20,7,53,12,0,4,1,0,0,0,1.80,0.91
Tylor Megill,NYM,26,7,7,0,0,34.2,30,17,37,9,4,4,2,0,0,0,4.41,1.13
