Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERAadjusted,FIPadjusted,xFIPadjusted,ERA,FIP,EadjustedF,xFIP,SIERA,playerid
Kevin Gausman,TOR,10.26,0.54,19.00,0.18,28.9%,1.5%,27.4%,.253,1.04,.353,71.1%,66,29,58,2.52,1.25,1.27,2.29,2.44,14107
Carlos Rodon,SFG,13.03,3.03,4.31,0.23,36.1%,8.4%,27.7%,.213,1.11,.345,68.1%,90,47,69,3.49,1.62,1.88,2.61,2.48,16137
Tarik Skubal,DET,10.07,1.61,6.25,0.40,28.4%,4.5%,23.9%,.232,1.05,.319,74.7%,60,49,65,2.22,1.97,0.25,2.57,2.71,22267
Dylan Cease,CHW,13.81,3.50,3.94,0.62,36.8%,9.3%,27.5%,.207,1.17,.330,77.4%,85,52,66,3.09,2.15,0.94,2.59,2.52,18525
Pablo Lopez,MIA,9.39,2.15,4.36,0.39,27.0%,6.2%,20.8%,.186,0.91,.248,84.2%,41,63,77,1.57,2.29,-0.72,2.90,3.08,17085
Paul Blackburn,OAK,7.23,1.49,4.86,0.21,20.7%,4.3%,16.5%,.223,0.99,.279,81.3%,54,59,73,1.91,2.29,-0.37,2.86,3.22,14739
Martin Perez,TEX,6.93,2.19,3.17,0.00,19.9%,6.3%,13.6%,.209,0.99,.266,74.5%,45,61,93,1.64,2.40,-0.76,3.58,3.63,6902
Nestor Cortes,NYY,11.03,2.48,4.45,0.68,32.5%,7.3%,25.2%,.164,0.85,.227,90.6%,37,60,71,1.35,2.44,-1.09,2.78,2.72,17874
Kyle Wright,ATL,10.71,2.79,3.85,0.43,29.2%,7.6%,21.6%,.213,1.10,.301,73.6%,68,67,79,2.79,2.47,0.32,2.97,2.98,19665
Shane McClanahan,TBR,12.63,1.94,6.50,1.17,36.7%,5.6%,31.1%,.181,0.86,.253,85.9%,67,71,46,2.33,2.68,-0.35,1.86,1.98,21483
Joe Musgrove,SDP,9.40,1.20,7.83,0.80,26.7%,3.4%,23.3%,.214,0.93,.274,75.5%,57,73,77,2.20,2.69,-0.49,2.89,2.88,12970
