Team,PA,BBRate,KRate,BBPerK,AVGFor,OBP,SLG,OPS,ISO,Spd,BABIPFor,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC
LAA,711,9.8%,23.9%,0.41,.255,.335,.437,.772,.182,4.8,.310,-2.3,-0.6,-1.4,99,21.2,.345,129
CHC,682,9.8%,21.1%,0.47,.267,.348,.416,.764,.149,3.5,.326,1.4,-2.0,-1.3,94,19.2,.342,123
COL,674,7.3%,20.5%,0.36,.263,.326,.425,.751,.162,3.3,.307,-0.2,0.3,-0.9,89,15.6,.336,106
NYM,772,9.2%,19.3%,0.48,.259,.343,.392,.736,.134,4.7,.306,1.7,1.4,0.2,101,16.6,.334,124
PHI,705,8.2%,22.7%,0.36,.261,.327,.420,.747,.159,5.0,.317,0.7,-1.3,0.9,92,14.5,.333,116
SEA,701,11.4%,21.1%,0.54,.237,.331,.401,.733,.164,5.2,.279,-1.1,0.6,1.3,90,13.5,.330,125
LAD,682,11.0%,21.7%,0.51,.244,.331,.394,.725,.150,5.5,.292,0.6,1.6,1.1,86,11.3,.327,116
NYY,670,8.8%,23.6%,0.37,.243,.317,.411,.728,.169,3.9,.288,-2.2,0.3,0.3,84,10.5,.326,117
CLE,677,7.4%,22.2%,0.33,.253,.313,.405,.717,.152,4.9,.307,-1.5,0.6,-0.5,82,7.7,.321,113
TOR,706,6.9%,22.9%,0.30,.248,.306,.415,.721,.168,3.2,.288,1.3,0.2,0.0,85,7.9,.320,109
TBR,666,9.3%,24.3%,0.38,.245,.320,.390,.709,.145,4.9,.307,-1.8,0.9,0.3,80,6.9,.319,117
MIA,648,10.3%,25.2%,0.41,.237,.324,.376,.700,.140,5.2,.304,0.3,0.3,0.7,76,5.4,.317,110
ATL,698,8.9%,24.2%,0.37,.229,.305,.397,.702,.168,3.0,.277,-2.3,-2.2,-0.3,82,5.5,.316,103
SDP,714,10.9%,23.2%,0.47,.229,.323,.373,.696,.144,5.2,.281,0.5,0.2,0.5,83,5.4,.315,109
SFG,708,8.8%,24.2%,0.36,.231,.306,.380,.687,.149,4.2,.281,2.1,-0.9,0.1,80,2.3,.309,105
MIN,652,10.7%,24.8%,0.43,.219,.310,.368,.678,.149,2.7,.268,-2.7,-1.4,-1.2,73,1.7,.309,104
STL,643,9.0%,21.5%,0.42,.237,.317,.360,.677,.123,5.4,.289,1.3,0.0,2.5,72,1.6,.308,105
PIT,662,9.5%,24.8%,0.38,.231,.303,.341,.643,.110,4.3,.298,-0.9,0.1,-0.4,66,-6.5,.292,91
HOU,669,9.1%,22.1%,0.41,.209,.285,.356,.641,.147,3.1,.242,-0.2,-0.2,-1.2,65,-7.6,.290,94
TEX,678,8.3%,19.9%,0.41,.226,.295,.341,.636,.115,3.7,.264,7.1,0.8,-0.4,66,-8.5,.288,91
DET,615,9.9%,24.2%,0.41,.223,.306,.317,.623,.093,2.9,.291,-4.2,-0.2,-1.2,59,-8.7,.286,89
BOS,703,6.0%,22.3%,0.27,.234,.280,.353,.633,.119,2.9,.285,1.5,-0.9,-0.6,64,-13.0,.281,81
CHW,598,6.2%,21.7%,0.28,.215,.268,.351,.619,.136,4.4,.251,1.0,0.5,1.2,54,-11.7,.279,85
BAL,677,9.6%,26.1%,0.37,.208,.298,.301,.599,.093,3.8,.278,0.2,2.1,0.3,60,-13.8,.278,81
MIL,677,8.6%,23.9%,0.36,.207,.281,.332,.613,.126,4.7,.255,1.7,-0.5,-0.2,60,-13.8,.278,79
WSN,728,8.1%,21.3%,0.38,.222,.292,.315,.607,.094,2.3,.273,1.3,0.3,-0.9,64,-15.5,.278,78
OAK,681,7.8%,26.6%,0.29,.206,.275,.337,.612,.131,4.8,.264,0.4,-0.1,1.2,60,-14.6,.277,86
KCR,578,8.1%,20.4%,0.40,.208,.279,.317,.596,.109,4.9,.247,-2.1,-0.5,1.2,49,-14.1,.273,77
ARI,687,10.5%,25.5%,0.41,.178,.273,.307,.580,.129,3.3,.217,2.1,0.4,-0.2,55,-19.6,.267,71
CIN,634,7.7%,27.1%,0.28,.195,.268,.302,.570,.107,2.4,.254,-3.9,-0.6,-1.2,49,-20.4,.262,65
