Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,K-BBRate,AVGAgainst,WHIP,BABIPAgainst,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA
SFG,9.13,2.48,3.67,0.53,24.7%,6.7%,18.0%,.237,1.17,.309,77.0%,77,80,85,2.87,2.70,0.16,3.08,2.98
LAD,9.27,2.34,3.96,0.56,26.2%,6.6%,19.6%,.183,0.92,.238,76.8%,62,77,88,2.29,2.75,-0.46,3.18,2.93
NYM,10.06,2.98,3.37,0.69,27.9%,8.3%,19.6%,.192,1.03,.254,76.6%,80,83,88,2.85,2.91,-0.06,3.16,2.98
MIL,10.30,3.85,2.67,0.60,27.4%,10.2%,17.2%,.203,1.18,.275,75.1%,79,85,93,3.06,3.05,0.01,3.36,3.26
NYY,9.44,3.23,2.93,0.66,25.3%,8.7%,16.7%,.214,1.15,.277,80.3%,76,81,90,2.70,3.16,-0.45,3.43,3.25
MIA,8.85,3.25,2.72,0.76,24.0%,8.8%,15.2%,.211,1.14,.265,73.9%,85,96,97,3.10,3.39,-0.29,3.51,3.44
STL,8.08,3.02,2.68,0.66,21.8%,8.1%,13.7%,.233,1.20,.289,77.0%,88,97,99,3.22,3.39,-0.17,3.59,3.50
TBR,9.59,2.79,3.44,0.98,25.8%,7.5%,18.3%,.210,1.10,.263,69.6%,93,94,87,3.18,3.42,-0.24,3.32,3.04
TOR,8.48,2.75,3.08,0.92,22.5%,7.3%,15.2%,.238,1.22,.291,72.0%,101,92,93,3.76,3.50,0.26,3.55,3.45
CHW,9.72,4.45,2.18,0.72,24.7%,11.3%,13.4%,.230,1.38,.300,70.7%,106,90,101,3.78,3.54,0.24,3.82,3.66
ATL,9.60,3.71,2.59,0.88,25.2%,9.7%,15.5%,.220,1.24,.281,69.2%,105,100,101,4.13,3.60,0.53,3.66,3.44
DET,7.19,2.82,2.55,0.87,19.3%,7.6%,11.7%,.225,1.17,.261,68.8%,93,96,106,3.34,3.67,-0.33,4.01,3.88
PHI,8.67,3.42,2.53,0.84,22.9%,9.0%,13.9%,.228,1.23,.282,72.3%,100,100,102,3.89,3.72,0.18,3.71,3.54
OAK,8.29,3.12,2.66,0.97,22.2%,8.4%,13.9%,.231,1.21,.278,74.4%,103,102,94,3.56,3.77,-0.21,3.59,3.53
MIN,8.76,3.11,2.81,1.12,23.7%,8.4%,15.3%,.219,1.17,.263,80.8%,88,100,96,3.16,3.81,-0.64,3.64,3.45
COL,7.20,3.16,2.28,0.83,18.4%,8.1%,10.3%,.274,1.44,.324,65.8%,105,100,107,4.57,3.81,0.76,3.92,3.92
CLE,7.98,2.63,3.04,1.04,21.4%,7.0%,14.3%,.233,1.18,.275,68.3%,109,102,101,3.91,3.82,0.09,3.83,3.60
SDP,9.37,3.31,2.83,1.15,25.3%,8.9%,16.4%,.211,1.15,.258,73.7%,97,107,94,3.58,3.85,-0.27,3.42,3.32
HOU,8.45,3.16,2.68,0.97,22.3%,8.3%,14.0%,.230,1.22,.279,74.2%,102,103,105,3.59,3.87,-0.28,3.99,3.66
BOS,9.03,3.55,2.55,1.06,24.0%,9.4%,14.6%,.217,1.20,.265,77.1%,88,104,100,3.32,3.91,-0.59,3.80,3.55
LAA,8.35,3.00,2.78,1.11,22.7%,8.1%,14.5%,.202,1.09,.236,73.0%,100,101,98,3.60,3.92,-0.32,3.74,3.55
ARI,6.55,3.51,1.87,0.69,17.3%,9.3%,8.1%,.228,1.25,.264,72.4%,84,109,122,3.28,3.92,-0.64,4.47,4.33
BAL,7.71,3.41,2.26,0.94,20.2%,8.9%,11.2%,.236,1.29,.279,71.4%,99,98,100,3.61,3.94,-0.33,3.81,3.79
KCR,7.57,3.55,2.13,0.90,19.6%,9.2%,10.4%,.255,1.38,.303,68.9%,124,106,108,4.55,3.95,0.60,4.07,3.99
SEA,8.85,3.18,2.78,1.17,23.8%,8.5%,15.2%,.225,1.20,.271,76.6%,96,107,97,3.28,3.97,-0.69,3.69,3.49
WSN,8.69,4.10,2.12,0.98,21.6%,10.2%,11.4%,.264,1.50,.326,68.0%,131,112,113,5.08,4.15,0.93,4.15,3.90
CHC,9.25,3.45,2.68,1.40,24.0%,8.9%,15.0%,.251,1.36,.304,72.9%,118,116,97,4.55,4.25,0.30,3.50,3.40
PIT,7.92,4.21,1.88,1.13,20.0%,10.6%,9.4%,.244,1.42,.286,64.8%,133,122,116,5.09,4.46,0.63,4.26,4.10
CIN,8.75,5.01,1.75,1.06,21.3%,12.2%,9.1%,.269,1.61,.331,65.9%,149,119,126,6.02,4.54,1.47,4.62,4.24
TEX,9.39,3.94,2.38,1.56,24.3%,10.2%,14.1%,.232,1.32,.275,74.3%,128,126,94,4.57,4.72,-0.15,3.59,3.49
