rank,name,id,age,team,position,gamesPlayed,corsiFor,corsiAgainst,corsiForPercentage,relativeCorsiForPercentage,fenwickFor,fenwickAgainst,fenwickForPercentage,relativeFenwickForPercentage,onIceSHPercentage,onIceSVPercentage,pdo,oZoneStartPercentage,dZoneStartPercentage,toiPerGame,evenTOIPerGame,takeAways,giveAways,expectedPlusMinus,shotsAttempted,shotsOnNetPercentage
1,Noel Acciari,acciano01,30,FLA,C,1,16,3,84.2,25.4,11,2,84.6,24.2,0.0,100.0,100.0,0.0,100.0,11:47,11:01,0,0,0.7,4,25.0
2,Calen Addison,addisca01,21,MIN,D,9,119,82,59.2,9.8,88,65,57.5,8.6,9.9,87.0,96.9,52.2,47.8,13:40,12:13,0,0,2.1,24,50.0
3,Andrew Agozzino,agozzan01,31,OTT,LW,1,8,4,66.7,26.7,5,2,71.4,29.1,0.0,100.0,100.0,50.0,50.0,6:52,6:52,0,0,0.0,1,100.0
4,Jack Ahcan,ahcanja01,24,BOS,D,3,55,31,64.0,14.6,43,23,65.2,14.0,0.0,100.0,100.0,68.4,31.6,14:37,13:43,0,1,1.6,9,22.2
5,Sebastian Aho,ahose01,24,CAR,F,45,657,552,54.3,0.2,475,433,52.3,-1.7,11.8,91.2,103.1,53.8,46.2,18:59,13:40,39,33,3.1,245,53.5
6,Sebastian Aho,ahose02,25,NYI,D,14,174,181,49.0,3.0,130,135,49.1,4.5,5.3,88.7,94.0,65.0,35.0,17:15,15:27,3,9,-3.4,36,52.8
7,Alexander Alexeyev,alexeal01,22,WSH,D,1,9,12,42.9,-5.4,6,7,46.2,-1.5,0.0,100.0,100.0,60.0,40.0,10:35,10:35,0,0,0.4,1,0.0
8,Wade Allison,alliswa01,24,PHI,RW,1,8,5,61.5,13.1,6,4,60.0,12.0,0.0,66.7,66.7,66.7,33.3,8:16,7:05,1,1,-0.1,2,100.0
9,Michael Amadio,amadimi01,25,TOT,C,28,265,247,51.8,-1.8,196,171,53.4,-0.8,6.4,93.3,99.7,48.0,52.0,10:48,10:41,14,5,1.7,62,54.8
10,Joey Anderson,anderjo08,23,TOR,RW,4,34,25,57.6,3.6,26,21,55.3,0.2,0.0,90.0,90.0,76.9,23.1,7:47,7:44,1,0,2.0,9,88.9
11,Josh Anderson,anderjo05,27,MTL,RW,38,504,562,47.3,-0.9,362,438,45.3,-1.6,7.6,87.7,95.2,46.5,53.5,16:52,14:57,14,12,-5.9,165,53.9
12,Michael Anderson,andermi02,22,LAK,D,47,822,663,55.4,1.5,638,500,56.1,1.2,8.5,91.7,100.2,49.9,50.1,20:03,17:58,7,23,4.9,115,42.6
13,Jaret Anderson-Dolan,anderja01,22,LAK,C,2,19,18,51.4,-5.8,15,15,50.0,-7.0,0.0,85.7,85.7,58.3,41.7,12:24,10:56,0,0,-0.2,1,100.0
14,Lias Andersson,anderli01,23,LAK,C,13,114,140,44.9,-11.0,88,108,44.9,-13.5,3.3,94.7,97.9,65.2,34.8,11:07,10:07,0,5,-3.9,21,85.7
15,Rasmus Andersson,anderra01,25,CGY,D,48,886,742,54.4,-1.4,696,571,54.9,-0.1,9.8,90.2,100.0,52.8,47.2,22:23,17:46,17,26,13.8,169,54.4
16,Andy Andreoff,andrean01,30,NYI,LW,5,32,49,39.5,-8.5,21,31,40.4,-4.4,7.7,90.0,97.7,55.6,44.4,9:52,9:45,1,3,-1.9,7,85.7
17,Anthony Angello,angelan01,25,PIT,C,1,5,2,71.4,10.1,4,2,66.7,8.5,0.0,100.0,100.0,80.0,20.0,5:19,5:19,0,0,0.0,2,100.0
18,Mason Appleton,applema01,26,SEA,C,37,417,432,49.1,0.0,307,319,49.0,0.5,9.5,89.0,98.5,32.4,67.6,14:15,13:31,6,6,-3.8,82,61.0
19,Joel Armia,armiajo01,28,MTL,RW,37,354,399,47.0,-2.5,254,302,45.7,-2.1,6.4,91.9,98.3,50.8,49.2,13:36,11:24,18,20,0.2,97,59.8
20,Viktor Arvidsson,arvidvi01,28,LAK,LW,43,725,524,58.0,4.0,563,377,59.9,5.2,8.2,90.4,98.6,55.1,44.9,17:25,14:16,11,6,8.6,281,57.7
21,Rasmus Asplund,asplura01,24,BUF,F,48,539,525,50.7,5.1,421,401,51.2,7.2,7.1,88.1,95.3,49.3,50.7,15:41,13:03,14,11,-1.7,126,67.5
22,Zach Aston-Reese,astonza01,27,PIT,C,43,398,410,49.3,-3.9,307,304,50.2,-4.0,7.6,94.2,101.8,33.0,67.0,13:08,11:35,11,6,2.1,78,59.0
23,Andreas Athanasiou,athanan01,27,LAK,C,18,205,210,49.4,-5.3,163,158,50.8,-3.8,10.8,89.4,100.2,47.8,52.2,14:46,13:04,8,2,-0.8,71,57.7
24,Cam Atkinson,atkinca01,32,PHI,RW,49,636,649,49.5,2.3,479,487,49.6,2.8,11.6,90.4,102.0,57.3,42.7,18:22,13:51,26,15,-4.6,223,67.7
25,Nicolas Aube-Kubel,aubekni01,25,TOT,RW,44,373,391,48.8,-4.7,273,300,47.6,-5.0,8.7,93.9,102.6,43.1,56.9,10:07,9:54,12,12,1.1,96,61.5
26,Mikael Backlund,backlmi01,32,CGY,C,48,720,526,57.8,3.3,545,410,57.1,2.8,6.3,93.8,100.1,49.8,50.2,17:28,13:44,31,24,11.6,208,60.6
27,Nicklas Backstrom,backsni02,34,WSH,C,19,259,229,53.1,3.7,191,173,52.5,3.1,11.6,88.5,100.2,68.5,31.5,17:48,13:45,5,4,1.0,61,60.7
28,Brandon Baddock,baddobr01,26,MTL,LW,1,4,6,40.0,0.3,2,4,33.3,-5.4,0.0,100.0,100.0,0.0,100.0,8:24,7:32,0,0,0.0,0,
