playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480950,2021,Ilya Lyubushkin,TOR,D,other,67,1517.0,27.0,4.1,0.57,0.47,0.24,0.49,0.29,0.49,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,4.0,4.0,3.0,16.0,1.0,9.0,3.0,14.0,0.0,0.0,6364.0,2.0,2.0,1.0,4.0,8.02,5.43,4.8,5.43,4.8,6.0,6.0,0.0,12.0,4.0,1.0,1.0,4.0,1.0,7.0,0.12,0.09,5.22,0.0,0.0,4.0,12.0,12.0,12.0,0.09,0.79,0.79,4.73,4.73,4.63,21.38,4.11,2.98,4.11,2.98,20.0,10.0,8.0,38.0,2.0,3.0,0.0,16.0,7.0,7.0,0.77,0.74,2.6,2.0,0.0,0.0,38.0,30.0,30.0,0.51,0.78,0.78,3.85,3.85,2.7,14.53,16.06,131.0,134.0,0.0,0.1,0.0,2.0,0.0,2.0
8480950,2021,Ilya Lyubushkin,TOR,D,all,67,70751.0,1563.0,7.05,0.41,0.5,0.42,0.5,0.42,0.5,308.0,45.14,1.65,2.6,12.32,1.53,27.79,20.12,1.59,1.64,1.58,3.0,7.0,46.0,20.0,25.0,91.0,10.0,0.0,0.0,0.0,10.0,2.0,20.0,34.0,46.0,66.0,20.0,40.0,0.0,165.0,13.0,29.0,64.0,2.0,0.0,1.39,0.26,0.0,0.0,0.0,0.0,89.85,66.0,64.86,23.0,0.51,0.0,0.04,2.12,2.11,2.04,1563.0,101.0,262.0,219.0,981.0,157.0,234.0,177.0,995.0,0.0,0.0,172294.0,40.0,16.0,8.0,80.0,474.69,40.42,39.0,40.75,39.33,458.0,204.0,207.0,869.0,43.0,26.0,5.0,513.0,119.0,30.0,14.58,14.36,11.48,19.0,12.0,12.0,864.51,662.0,660.65,6.22,5.26,5.26,41.38,41.76,41.19,662.44,59.05,56.2,59.48,56.64,688.0,233.0,269.0,1190.0,69.0,55.0,6.0,700.0,164.0,57.0,19.74,19.35,19.96,24.0,22.0,23.0,1206.91,921.0,930.95,10.71,10.1,10.05,59.7,60.22,58.05,137.92,138.93,2618.0,2618.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on5,67,61031.0,1356.0,7.05,0.47,0.51,0.48,0.49,0.48,0.5,297.0,44.11,1.6,2.5,12.06,1.46,27.14,19.24,1.54,1.59,1.53,3.0,5.0,44.0,20.0,24.0,88.0,8.0,0.0,0.0,0.0,9.0,2.0,19.0,34.0,44.0,64.0,16.0,32.0,0.0,146.0,10.0,26.0,62.0,2.0,0.0,1.34,0.26,0.0,0.0,0.0,0.0,86.86,64.0,62.86,20.0,0.49,0.0,0.04,2.05,2.03,1.97,1356.0,91.0,179.0,206.0,880.0,146.0,191.0,146.0,873.0,0.0,0.0,135869.0,32.0,10.0,5.0,60.0,445.31,33.44,32.66,33.77,32.99,428.0,192.0,204.0,824.0,37.0,25.0,4.0,487.0,110.0,23.0,13.91,13.27,6.26,18.0,11.0,8.0,819.51,620.0,618.65,5.88,4.47,4.47,34.85,35.22,34.77,491.24,38.39,37.16,38.83,37.6,517.0,165.0,212.0,894.0,44.0,36.0,4.0,523.0,128.0,31.0,14.43,15.16,8.8,16.0,19.0,9.0,910.91,682.0,691.95,6.57,7.25,7.21,37.75,38.26,37.63,91.83,89.42,1987.0,2046.0,5.73,0.37,108.0,15.0,87.0,13.0
8480950,2021,Ilya Lyubushkin,TOR,D,4on5,67,8044.0,168.0,6.83,0.08,0.17,0.11,0.15,0.12,0.17,195.0,1.03,0.05,0.1,0.25,0.07,0.64,0.88,0.05,0.05,0.05,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,6.0,0.0,15.0,2.0,3.0,2.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.02,0.0,0.0,0.07,0.07,0.07,168.0,4.0,79.0,9.0,76.0,8.0,31.0,26.0,103.0,0.0,0.0,10813.0,6.0,0.0,0.0,0.0,20.7,1.53,1.52,1.53,1.52,23.0,6.0,3.0,32.0,2.0,0.0,0.0,21.0,8.0,0.0,0.52,1.0,0.0,1.0,1.0,0.0,32.0,29.0,29.0,0.25,0.0,0.0,1.77,1.77,1.76,149.82,16.55,16.07,16.55,16.07,151.0,58.0,49.0,258.0,23.0,16.0,2.0,161.0,29.0,19.0,4.54,3.45,8.56,6.0,3.0,14.0,258.0,209.0,209.0,3.63,2.07,2.07,18.11,18.11,17.72,4.5,21.87,54.0,300.0,0.49,0.03,3.0,1.0,3.0,1.0
8480950,2021,Ilya Lyubushkin,TOR,D,5on4,67,159.0,12.0,-0.65,1.0,0.85,1.0,0.8,1.0,0.76,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,1.0,9.0,2.0,3.0,2.0,5.0,0.0,0.0,3685.0,0.0,0.0,0.0,2.0,0.66,0.02,0.02,0.02,0.02,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.32,0.91,84.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
8480443,2021,Kristian Reichel,WPG,C,other,13,61.0,1.0,1.02,0.46,0.64,0.4,0.47,0.5,0.43,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,655.0,0.0,0.0,0.0,0.0,0.65,0.06,0.06,0.06,0.06,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.02,0.0,0.0,0.08,0.08,0.08,0.72,0.07,0.07,0.07,0.07,1.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.02,0.0,0.0,0.09,0.09,0.09,1.87,1.04,14.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8480443,2021,Kristian Reichel,WPG,C,all,13,8115.0,204.0,1.26,0.6,0.51,0.44,0.5,0.46,0.5,120.0,17.4,1.82,1.2,3.74,0.55,8.99,6.72,1.59,1.9,1.65,0.0,1.0,18.0,5.0,7.0,30.0,2.0,1.0,3.0,0.0,3.0,0.0,4.0,12.0,17.0,22.0,2.0,7.0,1.0,14.0,7.0,1.0,15.0,6.0,2.0,0.39,0.66,0.77,1.0,0.0,0.0,30.32,23.0,23.58,0.0,0.25,1.12,0.77,1.3,1.32,1.3,204.0,24.0,28.0,30.0,122.0,26.0,18.0,25.0,135.0,1.0,0.0,39060.0,7.0,5.0,1.0,10.0,59.55,6.03,5.22,6.13,5.3,61.0,22.0,22.0,105.0,3.0,8.0,0.0,58.0,17.0,8.0,1.61,1.94,2.48,1.0,2.0,0.0,105.3,83.0,83.77,0.92,2.43,2.43,4.53,4.56,4.44,67.97,4.03,3.92,4.01,3.9,70.0,26.0,39.0,135.0,5.0,4.0,2.0,84.0,11.0,1.0,2.44,1.35,0.25,1.0,4.0,0.0,134.74,96.0,95.32,0.87,0.66,0.66,4.25,4.23,4.12,39.17,37.52,652.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0
8480443,2021,Kristian Reichel,WPG,C,5on5,13,8051.0,202.0,1.26,0.6,0.48,0.44,0.48,0.46,0.47,116.0,17.4,1.82,1.2,3.74,0.55,8.99,6.72,1.59,1.9,1.65,0.0,1.0,18.0,5.0,7.0,30.0,2.0,1.0,3.0,0.0,3.0,0.0,4.0,12.0,17.0,22.0,2.0,7.0,1.0,14.0,7.0,1.0,15.0,6.0,2.0,0.39,0.66,0.77,1.0,0.0,0.0,30.32,23.0,23.58,0.0,0.25,1.12,0.77,1.3,1.32,1.3,202.0,23.0,28.0,29.0,122.0,26.0,18.0,25.0,133.0,1.0,0.0,29642.0,7.0,5.0,1.0,10.0,58.9,5.97,5.16,6.07,5.23,60.0,22.0,21.0,103.0,3.0,8.0,0.0,57.0,17.0,8.0,1.55,1.94,2.48,1.0,2.0,0.0,103.3,82.0,82.77,0.91,2.43,2.43,4.44,4.48,4.36,67.25,3.96,3.85,3.94,3.83,69.0,26.0,37.0,132.0,5.0,4.0,2.0,83.0,11.0,1.0,2.36,1.35,0.25,1.0,4.0,0.0,131.74,95.0,94.32,0.86,0.66,0.66,4.16,4.14,4.03,21.4,23.62,454.0,495.0,0.23,0.84,9.0,7.0,7.0,7.0
8480443,2021,Kristian Reichel,WPG,C,4on5,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8480443,2021,Kristian Reichel,WPG,C,5on4,13,3.0,1.0,0.1,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
