rank,name,id,age,team,position,gamesPlayed,goals,assists,points,plusMinus,pim,pointShares,evenStrengthGoals,powerPlayGoals,shortHandedGoals,gameWinningGoals,evenStrengthAssists,powerPlayAssists,shortHandedAssists,shots,shPercentage,toi,averageTOI,blocks,hits,faceOffWins,faceOffLosses,faceOffPercentage
1,Noel Acciari,acciano01,30,FLA,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,12,11:47,1,2,2,1,66.7
2,Calen Addison,addisca01,21,MIN,D,9,2,1,3,0,0,0.5,2,0,0,0,1,0,0,12,16.7,123,13:40,3,10,0,0,
3,Andrew Agozzino,agozzan01,31,OTT,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,1,0.0,7,6:52,0,4,1,2,33.3
4,Jack Ahcan,ahcanja01,24,BOS,D,3,0,0,0,0,0,0.1,0,0,0,0,0,0,0,2,0.0,44,14:37,2,4,0,0,
5,Sebastian Aho,ahose01,24,CAR,F,45,21,30,51,12,24,6.1,12,9,0,3,20,8,2,131,16.0,855,19:00,16,40,313,283,52.5
6,Sebastian Aho,ahose02,25,NYI,D,14,0,3,3,-7,0,0.1,0,0,0,0,2,1,0,19,0.0,242,17:15,17,11,0,0,
7,Alexander Alexeyev,alexeal01,22,WSH,D,1,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,,11,10:35,0,1,0,0,
8,Wade Allison,alliswa01,24,PHI,RW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0.0,8,8:16,0,1,0,0,
9,Michael Amadio,amadimi01,25,TOT,C,28,4,3,7,1,2,0.6,4,0,0,1,3,0,0,34,11.8,302,10:48,7,17,20,31,39.2
10,Michael Amadio,amadimi01,25,VEG,C,25,4,3,7,0,2,0.6,4,0,0,1,3,0,0,32,12.5,275,11:00,7,14,20,29,40.8
11,Michael Amadio,amadimi01,25,TOR,C,3,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,27,9:10,0,3,0,2,0.0
12,Joey Anderson,anderjo08,23,TOR,RW,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,8,0.0,31,7:47,0,2,0,0,
13,Josh Anderson,anderjo05,27,MTL,RW,38,9,8,17,-21,39,0.9,9,0,0,1,7,1,0,89,10.1,641,16:52,13,92,10,11,47.6
14,Michael Anderson,andermi02,22,LAK,D,47,2,3,5,10,6,2.2,2,0,0,1,3,0,0,49,4.1,943,20:03,58,109,0,0,
15,Jaret Anderson-Dolan,anderja01,22,LAK,C,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,25,12:24,0,4,9,7,56.3
16,Lias Andersson,anderli01,23,LAK,C,13,0,1,1,-2,10,-0.2,0,0,0,0,0,1,0,18,0.0,144,11:07,2,14,11,8,57.9
17,Rasmus Andersson,anderra01,25,CGY,D,48,2,25,27,14,14,4.7,1,1,0,0,15,9,1,92,2.2,1076,22:25,76,25,0,0,
18,Andy Andreoff,andrean01,30,NYI,LW,5,1,0,1,-1,0,0.1,1,0,0,0,0,0,0,6,16.7,49,9:52,1,8,6,3,66.7
19,Anthony Angello,angelan01,25,PIT,C,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,2,0.0,5,5:19,0,1,0,0,
20,Mason Appleton,applema01,26,SEA,C,37,5,8,13,-4,12,0.9,5,0,0,2,8,0,0,50,10.0,527,14:15,12,29,7,13,35.0
21,Joel Armia,armiajo01,28,MTL,RW,37,2,5,7,-7,12,-0.1,2,0,0,0,4,1,0,58,3.4,503,13:36,20,72,1,12,7.7
22,Viktor Arvidsson,arvidvi01,28,LAK,LW,43,13,19,32,4,22,3.5,9,4,0,1,16,3,0,162,8.0,749,17:25,35,15,8,8,50.0
23,Rasmus Asplund,asplura01,24,BUF,F,48,5,12,17,-12,8,0.6,2,2,1,1,10,2,0,85,5.9,748,15:34,9,12,24,31,43.6
24,Zach Aston-Reese,astonza01,27,PIT,C,43,1,9,10,6,20,0.4,1,0,0,0,9,0,0,46,2.2,565,13:08,27,156,3,2,60.0
25,Andreas Athanasiou,athanan01,27,LAK,C,18,5,4,9,-1,2,1.0,5,0,0,1,3,1,0,41,12.2,266,14:46,4,5,6,4,60.0
26,Cam Atkinson,atkinca01,32,PHI,RW,49,17,20,37,8,8,4.3,12,2,3,4,17,3,0,151,11.3,900,18:22,34,16,4,6,40.0
27,Nicolas Aube-Kubel,aubekni01,25,TOT,RW,44,7,9,16,6,39,1.6,7,0,0,1,9,0,0,59,11.9,445,10:07,10,88,3,7,30.0
28,Nicolas Aube-Kubel,aubekni01,25,COL,RW,37,7,8,15,9,33,1.7,7,0,0,1,8,0,0,50,14.0,376,10:10,9,71,3,7,30.0
29,Nicolas Aube-Kubel,aubekni01,25,PHI,RW,7,0,1,1,-3,6,-0.1,0,0,0,0,1,0,0,9,0.0,69,9:49,1,17,0,0,
30,Mikael Backlund,backlmi01,32,CGY,C,48,7,14,21,7,14,1.7,7,0,0,1,10,4,0,126,5.6,839,17:28,15,40,353,369,48.9
31,Nicklas Backstrom,backsni02,34,WSH,C,19,4,10,14,-1,6,1.2,3,1,0,1,5,5,0,37,10.8,338,17:48,6,9,138,155,47.1
32,Brandon Baddock,baddobr01,26,MTL,LW,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,,8,8:24,0,6,0,0,
33,Sven Baertschi,baertsv01,29,VEG,LW,1,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0.0,14,13:54,0,0,0,0,
34,Kevin Bahl,bahlke01,21,NJD,D,4,0,0,0,-3,2,-0.2,0,0,0,0,0,0,0,4,0.0,54,13:35,2,5,0,0,
35,Josh Bailey,bailejo01,32,NYI,C,38,3,18,21,-6,4,1.3,2,1,0,1,14,4,0,40,7.5,668,17:35,16,12,32,54,37.2
36,Justin Bailey,baileju01,26,VAN,RW,14,0,0,0,-5,6,-0.4,0,0,0,0,0,0,0,16,0.0,127,9:05,6,12,0,1,0.0
37,Rudolfs Balcers,balceru01,24,SJS,LW,31,6,9,15,-2,8,1.4,6,0,0,1,8,0,1,55,10.9,478,15:26,23,64,6,8,42.9
38,Alexander Barabanov,barabal01,27,SJS,F,40,7,19,26,-1,4,2.3,6,1,0,1,14,5,0,55,12.7,686,17:09,24,23,0,1,0.0
39,Ivan Barbashev,barbaiv01,26,STL,C,48,15,19,34,4,24,3.5,10,4,1,1,14,4,1,77,19.5,815,16:59,23,85,94,156,37.6
40,Riley Barber,barberi01,27,DET,RW,2,0,0,0,1,0,0.0,0,0,0,0,0,0,0,2,0.0,12,6:08,1,1,0,0,
