team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VGK,2021,VGK,VGK,Team Level,other,80,0.5,0.53,0.51,9360.0,147.9,34.59,11.22,25.5,4.83,81.22,46.64,31.41,34.59,31.41,164.0,40.0,80.0,284.0,33.0,15.0,2.0,23.0,9.0,72.0,52.0,131.0,171.0,3.0,6.0,148.0,30.0,37.0,19.0,110.0,45.0,49.0,4.44,5.31,24.84,8.0,9.0,16.0,284.0,204.0,204.0,10.0,3.22,5.23,5.23,32.57,32.57,30.85,141.46,34.49,9.68,25.32,4.71,71.99,48.82,32.21,34.49,32.21,139.0,56.0,57.0,252.0,26.0,17.0,4.0,23.0,5.0,60.0,64.0,113.0,169.0,8.0,16.0,102.0,33.0,25.0,19.0,104.0,40.0,51.0,3.96,5.08,25.45,5.0,3.0,18.0,252.0,195.0,195.0,5.0,2.85,4.65,4.65,32.68,32.68,31.05
VGK,2021,VGK,VGK,Team Level,all,80,0.51,0.52,0.53,291285.0,2661.19,258.96,188.13,621.04,87.64,1480.2,1072.05,247.14,260.02,248.18,2745.0,963.0,1211.0,4919.0,252.0,231.0,34.0,619.0,110.0,1228.0,1268.0,2493.0,3456.0,245.0,546.0,2292.0,1650.0,722.0,708.0,2701.0,739.0,268.0,77.55,90.56,90.84,79.0,92.0,81.0,4947.85,3708.0,3722.43,348.0,41.33,49.33,49.33,250.96,252.18,245.81,2367.2,246.64,166.3,534.33,77.0,1300.19,950.53,236.66,247.0,236.99,2401.0,874.0,1283.0,4558.0,237.0,206.0,45.0,442.0,82.0,1051.0,1257.0,2164.0,3038.0,243.0,553.0,2361.0,2501.0,649.0,636.0,2328.0,679.0,268.0,66.82,84.88,94.92,79.0,81.0,77.0,4546.69,3275.0,3272.08,309.0,36.77,48.14,48.18,235.23,234.98,229.46
VGK,2021,VGK,VGK,Team Level,5on5,80,0.52,0.52,0.54,242440.0,2143.68,183.38,144.85,519.71,70.64,1190.23,885.2,176.58,184.44,177.62,2201.0,793.0,1018.0,4012.0,175.0,175.0,24.0,538.0,88.0,993.0,1025.0,2026.0,2819.0,227.0,510.0,1808.0,1554.0,611.0,601.0,2220.0,608.0,166.0,63.52,74.01,45.85,64.0,71.0,40.0,4040.85,2994.0,3008.43,312.0,29.97,35.45,35.68,177.66,178.89,175.45,1871.2,166.21,126.46,439.83,61.05,1031.59,768.86,160.56,166.57,160.89,1906.0,688.0,1054.0,3648.0,161.0,151.0,30.0,368.0,65.0,828.0,1021.0,1745.0,2433.0,218.0,503.0,1911.0,2372.0,544.0,539.0,1896.0,540.0,158.0,54.98,67.51,43.72,65.0,64.0,32.0,3636.69,2594.0,2591.08,279.0,26.19,31.98,31.98,160.42,160.17,157.71
VGK,2021,VGK,VGK,Team Level,4on5,80,0.14,0.12,0.16,18781.0,57.25,6.28,2.87,7.6,1.67,17.25,39.32,6.23,6.28,6.23,64.0,11.0,3.0,78.0,9.0,1.0,1.0,6.0,0.0,12.0,47.0,55.0,66.0,7.0,14.0,143.0,44.0,47.0,20.0,47.0,19.0,9.0,1.39,2.41,2.48,2.0,3.0,4.0,78.0,75.0,75.0,19.0,0.66,0.25,0.25,6.68,6.68,6.67,293.58,39.35,27.04,60.79,9.42,178.01,90.39,37.37,39.35,37.37,290.0,115.0,160.0,565.0,44.0,35.0,10.0,49.0,12.0,152.0,113.0,246.0,361.0,11.0,22.0,190.0,29.0,17.0,56.0,276.0,80.0,49.0,6.49,9.76,23.1,8.0,12.0,24.0,565.0,405.0,405.0,4.0,7.02,10.8,10.8,35.56,35.56,34.16
VGK,2021,VGK,VGK,Team Level,5on4,80,0.84,0.85,0.84,20704.0,312.35,34.71,29.2,68.23,10.48,191.49,100.88,32.92,34.71,32.92,316.0,119.0,110.0,545.0,35.0,40.0,7.0,52.0,13.0,151.0,144.0,281.0,400.0,8.0,16.0,193.0,22.0,27.0,68.0,324.0,67.0,44.0,8.19,8.84,17.68,5.0,9.0,21.0,545.0,435.0,435.0,7.0,7.49,8.39,8.17,34.04,34.04,32.84,60.96,6.59,3.13,8.39,1.83,18.6,42.47,6.52,6.59,6.52,66.0,15.0,12.0,93.0,6.0,3.0,1.0,2.0,0.0,11.0,59.0,60.0,75.0,6.0,12.0,158.0,67.0,63.0,22.0,52.0,19.0,10.0,1.4,2.54,2.66,1.0,2.0,3.0,93.0,81.0,81.0,21.0,0.73,0.71,0.75,6.57,6.57,6.53
VAN,2021,VAN,VAN,Team Level,other,80,0.54,0.53,0.52,9741.0,151.7,36.49,10.4,26.25,5.11,78.55,51.2,32.72,36.49,32.72,163.0,45.0,60.0,268.0,29.0,17.0,6.0,31.0,6.0,68.0,57.0,134.0,179.0,8.0,19.0,116.0,22.0,26.0,17.0,98.0,61.0,49.0,4.19,7.68,24.62,6.0,3.0,20.0,268.0,208.0,208.0,6.0,2.97,6.05,6.05,33.42,33.42,30.87,139.74,31.16,9.83,23.54,4.57,75.03,47.85,28.38,31.16,28.38,143.0,49.0,48.0,240.0,31.0,8.0,2.0,21.0,6.0,70.0,56.0,112.0,161.0,6.0,15.0,116.0,28.0,14.0,13.0,101.0,53.0,38.0,3.95,6.64,20.58,5.0,9.0,17.0,240.0,192.0,192.0,5.0,2.92,2.33,2.33,31.75,31.75,28.99
VAN,2021,VAN,VAN,Team Level,all,80,0.5,0.5,0.5,291261.0,2464.33,242.29,169.53,561.05,82.31,1405.46,1011.37,231.53,242.61,231.86,2553.0,919.0,1164.0,4636.0,241.0,190.0,39.0,583.0,85.0,1067.0,1306.0,2312.0,3231.0,269.0,609.0,2344.0,1867.0,538.0,583.0,2577.0,669.0,226.0,76.61,80.07,85.62,93.0,69.0,79.0,4629.98,3472.0,3472.91,365.0,37.31,45.48,45.71,233.9,234.04,227.64,2465.63,244.76,172.17,559.57,81.87,1392.19,1009.43,235.18,246.03,236.43,2544.0,916.0,1150.0,4610.0,227.0,191.0,33.0,616.0,94.0,1093.0,1239.0,2317.0,3233.0,288.0,625.0,2182.0,1826.0,495.0,604.0,2511.0,720.0,229.0,74.49,86.59,83.68,71.0,83.0,73.0,4635.52,3460.0,3475.46,358.0,38.03,42.32,42.44,240.35,241.36,234.52
VAN,2021,VAN,VAN,Team Level,5on5,80,0.49,0.5,0.5,238107.0,1927.08,155.56,126.54,458.5,64.07,1100.73,811.61,150.97,155.88,151.29,1985.0,732.0,924.0,3641.0,154.0,141.0,24.0,488.0,59.0,822.0,1053.0,1831.0,2563.0,241.0,550.0,1815.0,1756.0,435.0,492.0,2103.0,492.0,122.0,62.38,58.68,34.5,72.0,53.0,29.0,3634.98,2717.0,2717.91,327.0,25.99,29.36,29.59,151.96,152.1,149.87,1934.19,161.11,129.88,459.89,64.55,1095.96,815.61,156.64,162.39,157.88,2000.0,727.0,952.0,3679.0,139.0,137.0,19.0,512.0,67.0,854.0,1018.0,1861.0,2588.0,262.0,570.0,1678.0,1716.0,420.0,527.0,2051.0,552.0,124.0,61.02,66.3,33.79,58.0,60.0,21.0,3704.52,2727.0,2742.46,328.0,26.8,27.92,28.04,159.89,160.89,158.43
VAN,2021,VAN,VAN,Team Level,4on5,80,0.1,0.12,0.13,20925.0,53.01,5.2,2.76,7.14,1.6,17.21,38.08,5.07,5.2,5.07,58.0,14.0,10.0,82.0,3.0,2.0,0.0,4.0,0.0,13.0,50.0,55.0,69.0,13.0,26.0,178.0,71.0,57.0,28.0,52.0,14.0,6.0,1.37,2.06,1.77,1.0,1.0,1.0,82.0,72.0,72.0,27.0,0.63,0.68,0.68,5.16,5.16,5.11,334.37,46.71,29.55,68.41,11.02,202.4,105.92,44.45,46.71,44.45,332.0,132.0,143.0,607.0,51.0,45.0,12.0,76.0,20.0,154.0,118.0,281.0,413.0,15.0,30.0,216.0,20.0,19.0,42.0,306.0,101.0,57.0,8.08,11.95,26.67,7.0,12.0,32.0,607.0,464.0,464.0,7.0,7.64,11.91,11.91,42.44,42.44,40.85
VAN,2021,VAN,VAN,Team Level,5on4,80,0.89,0.88,0.86,22488.0,332.54,45.04,29.83,69.15,11.54,208.96,110.48,42.78,45.04,42.78,347.0,128.0,170.0,645.0,55.0,30.0,9.0,60.0,20.0,164.0,146.0,292.0,420.0,7.0,14.0,235.0,18.0,20.0,46.0,324.0,102.0,49.0,8.66,11.66,24.72,14.0,12.0,29.0,645.0,475.0,475.0,5.0,7.72,9.39,9.39,43.37,43.37,41.78,57.33,5.77,2.92,7.73,1.73,18.8,40.05,5.72,5.77,5.72,69.0,8.0,7.0,84.0,6.0,1.0,0.0,7.0,1.0,15.0,47.0,63.0,71.0,5.0,10.0,172.0,62.0,42.0,22.0,53.0,14.0,10.0,1.43,1.7,2.63,1.0,2.0,3.0,84.0,77.0,77.0,18.0,0.67,0.16,0.16,6.28,6.28,6.25
