teamId,name,averageAge,gamesPlayed,wins,losses,otLosses,points,pointsPercentage,overallGoalsFor,overallGoalsAgainst,soWins,soLosses,ratingSystem,strengthOfSchedule,goalsForPerGame,goalsAgainstPerGame,ppGoalsFor,ppChancesFor,ppPercentage,ppGoalsAgainst,ppChancesAgainst,pkPercentage,shGoalsFor,shGoalsAgainst,pimPerG,pimDrawnPerGame,saves,savePercentage,shotsAgainst,svPercentage,shutouts
1,Anaheim Ducks,27.8,64,27,26,11,65,.508,179,199,4,5,-0.31,0.02,2.80,3.11,43,179,24.02,31,181,82.87,6,4,9.6,9.9,1898,9.4,2125,.906,3
2,Arizona Coyotes,28.0,62,20,38,4,44,.355,161,220,1,4,-0.96,0.04,2.60,3.55,21,157,13.38,50,192,73.96,3,3,10.7,8.9,1596,10.1,2188,.899,1
3,Boston Bruins,28.4,62,38,19,5,81,.653,186,165,2,2,0.26,-0.08,3.00,2.66,43,174,24.71,36,197,81.73,4,4,9.4,9.1,2195,8.5,1796,.908,3
4,Buffalo Sabres,27.4,63,22,33,8,52,.413,165,219,2,1,-0.88,-0.03,2.62,3.48,32,171,18.71,39,166,76.51,4,6,8.8,8.2,1875,8.8,2139,.898,1
5,Calgary Flames,28.7,62,38,16,8,84,.677,213,149,2,0,1.04,-0.03,3.44,2.40,41,174,23.56,27,183,85.25,6,3,9.3,8.4,2223,9.6,1813,.918,11
6,Carolina Hurricanes,28.2,62,41,15,6,88,.710,202,147,1,1,0.86,-0.03,3.26,2.37,43,181,23.76,23,213,89.20,2,3,8.9,7.7,2086,9.7,1790,.918,5
7,Chicago Blackhawks,28.2,63,22,32,9,53,.421,164,217,3,2,-0.71,0.12,2.60,3.44,38,187,20.32,43,181,76.24,2,5,8.3,9.0,1803,9.1,2032,.893,4
8,Colorado Avalanche,28.0,62,44,13,5,93,.750,238,172,3,1,1.00,-0.10,3.84,2.77,52,213,24.41,40,185,78.38,6,5,9.6,10.8,2169,11.0,1953,.912,7
9,Columbus Blue Jackets,26.5,63,32,28,3,67,.532,206,232,4,2,-0.32,0.06,3.27,3.68,30,164,18.29,40,183,78.14,6,5,7.6,6.9,1893,10.9,2228,.896,2
10,Dallas Stars,29.4,61,34,24,3,71,.582,176,180,3,2,0.01,0.06,2.89,2.95,43,184,23.37,39,179,78.21,4,2,7.3,7.7,1876,9.4,1890,.905,1
